"Abilene, TX",TX,US,200,200
"Accident, MD",MD,US,54,54
"Adak, AK",AK,US,10,10
"Adrian, MI",MI,US,150,150
"Ajo, AZ",AZ,US,250,250
"Alameda, CA",CA,US,8,8
"Alamosa, CO",CO,US,350,350
"Albany, CA",CA,US,500,500
"Albany, NY",NY,US,"7,000","9,000"
"Alexandria, VA",VA,US,17,17
"Albuquerque, NM",NM,US,"3,000","15,000"
"Alliance, NE",NE,US,100,150
"Almanor West, CA",CA,US,4,4
"Alpine, TX",TX,US,96,96
"Altoona, PA",PA,US,,
"Amarillo, TX",TX,US,600,700
"Amelia Island, FL",FL,US,700,"1,367"
"Anacortes, WA",WA,US,"1,200","1,200"
"Anchorage, AK",AK,US,"2,000","3,500"
"Angola, IN",IN,US,24,60
"Ann Arbor, MI",MI,US,"11,000","11,000"
"Annapolis, MD",MD,US,"1,600","1,600"
"Annville, PA",PA,US,30,30
"Appleton, WI",WI,US,3,3
"Arden, DE",DE,US,40,50
"Arlington, VA",VA,US,,
"Asbury Park, NJ",NJ,US,"6,000","6,000"
"Asheville, NC",NC,US,"7,000","10,000"
"Ashland, OR",OR,US,"15,000","15,000"
"Aspen, CO",CO,US,200,"1,000"
"Astoria, OR",OR,US,"1,300","1,600"
"Athens, GA",GA,US,700,"5,000"
"Athens, OH",OH,US,300,500
"Atlanta, GA",GA,US,"60,000","63,000"
"Augusta, GA",GA,US,600,600
"Augusta, ME",ME,US,"5,000","10,000"
"Austin, TX",TX,US,"33,000","72,000"
"Avalon, CA",CA,US,44,44
"Bailey, CO",CO,US,5,5
"Bainbridge Island, WA",WA,US,200,350
"Bakersfield, CA",CA,US,88,150
"Baltimore, MD",MD,US,"5,000","5,000"
"Bar Harbor, ME",ME,US,50,55
"Bandon, OR",OR,US,70,70
"Bayfield, WI",WI,US,427,427
"Beaufort, NC",NC,US,11,11
"Beaumont, TX",TX,US,300,300
"Beaver, PA",PA,US,275,300
"Beaver Island, MI",MI,US,18,22
"Bellingham, WA",WA,US,"5,000","6,000"
"Bemidji, MN",MN,US,250,500
"Bend, OR",OR,US,"3,000","5,000"
"Bennington, VT",VT,US,75,125
"Bentonville, AR",AR,US,300,600
"Berkeley, CA",CA,US,200,"1,000"
"Bethel, AK",AK,US,40,100
"Bethlehem, CT",CT,US,2,2
"Bethlehem, PA",PA,US,500,540
"Bettendorf, IA",IA,US,300,800
"Beverly Hills, CA",CA,US,250,300
"Binghamton, NY",NY,US,"2,000","3,000"
"Birmingham, AL",AL,US,"5,000","10,000"
"Bishop, CA",CA,US,600,600
"Bismarck, ND",ND,US,500,500
"Black Mountain, NC",NC,US,250,400
"Block Island, RI",RI,US,60,80
"Bloomsburg, PA",PA,US,40,60
"Bluff, UT",UT,US,48,48
"Boise, ID",ID,US,"5,000",5000
"Borrego Springs, CA",CA,US,140,150
"Boston, MA",MA,US,"175,000","175,000"
"Bozeman, MT",MT,US,13,13
"Breen, CO",CO,US,1,1
"Bridgewater, MA",MA,US,12,12
"Brighton, MI",MI,US,300,300
"Brattleboro, VT",VT,US,250,250
"Brookings, OR",OR,US,250,300
"Broomfield, CO",CO,US,100,200
"Brownsville, TX",TX,US,300,390
"Brunswick, ME",ME,US,300,400
"Buffalo, NY",NY,US,"2,500","3,000"
"Burbank, CA",CA,US,300,300
"Burns, OR",OR,US,20,20
"Burnsville, NC",NC,US,80,80
"Cambridge, MN",MN,US,22,22
"Canton, NY",NY,US,135,300
"Cape Henlopen, DE",DE,US,250,250
"Carbondale, CO",CO,US,200,700
"Carbondale, IL",IL,US,"1,000","1,785"
"Carmel, CA",CA,US,15,25
"Casper, WY",WY,US,700,"1,000"
"Cathlamet, WA",WA,US,2,2
"Cedaredge, CO",CO,US,,
"Champaign, IL",IL,US,"5,000","5,800"
"Charleston, SC",SC,US,"2,000","2,000"
"Charleston, WV",WV,US,"2,000","3,000"
"Charlotte, NC",NC,US,"20,000","30,000"
"Charlottesville, VA",VA,US,"2,000","2,500"
"Chattanooga, TN",TN,US,"1,000","3,000"
"Chelan, WA",WA,US,400,470
"Chesapeake Bay, MD",MD,US,1,1
"Cheyenne, WY",WY,US,"1,200","2,000"
"Chicago, IL",IL,US,"250,000","250,000"
"Chico, CA",CA,US,"1,000","3,000"
"Chillicothe, OH",OH,US,"1,000","1,000"
"Christiansted, St. Croix",VI,US,350,550
"Cincinnati, OH",OH,US,"5,000","12,000"
"Clare, MI",MI,US,24,75
"Clarion, PA",PA,US,65,100
"Clemson, SC",SC,US,500,500
"Cleveland, OH",OH,US,"15,000","15,000"
"Cobb, CA",CA,US,2,2
"Cobleskill, NY",NY,US,350,350
"Cody, WY",WY,US,400,500
"College Station, TX",TX,US,50,50
"Colorado Springs, CO",CO,US,"7,000","7,000"
"Columbia, MD",MD,US,100,125
"Columbia, MO",MO,US,"2,000","3,604"
"Columbia, SC",SC,US,"2,000","3,000"
"Columbus, OH",OH,US,"2,000","3,000"
"Columbus, OH",OH,US,200,200
"Compton, CA",CA,US,35,45
"Concord, NH",NH,US,"4,000","6,000"
"Conover, WI",WI,US,1,1
"Conway, NH",NH,US,,
"Cooperstown, NY",NY,US,200,200
"Coos Bay, OR",OR,US,200,200
"Copper Harbor, MI",MI,US,19,36
"Cordova, AK",AK,US,108,114
"Corpus Christi, TX",TX,US,24,24
"Cortez, CO",CO,US,400,504
"Corvallis, OR",OR,US,100,100
"Craftsbury, VT",VT,US,15,15
"Crested Butte, CO",CO,US,350,500
"Crestone, CO",CO,US,1,1
"Cruz Bay, St. John",VI,US,200,200
"Crystal River, FL",FL,US,7,7
"Dallas, TX",TX,US,"5,000","8,000"
"Davis, WV",WV,US,12,12
"Dayton, OH",OH,US,"3,000","3,000"
"Daytona Beach, FL",FL,US,100,100
"Decorah, IA",IA,US,800,"1,000"
"Delaware, OH",OH,US,127,130
"Delhi, NY",NY,US,50,120
"Deming, NM",NM,US,45,50
"Denton, TX",TX,US,"2,500","2,800"
"Denver, CO",CO,US,"100,000","200,000"
"Des Moines, IA",IA,US,"26,000","26,000"
"Detroit, MI",MI,US,"4,000","4,000"
"Douglas-Saugatuck, MI",MI,US,"1,200","2,500"
"Doylestown, PA",PA,US,"1,000","2,000"
"Driggs, ID",ID,US,"1,000","1,000"
"Dubuque, IA",IA,US,400,400
"Duluth, MN",MN,US,"1,500","1,700"
"Durango, CO",CO,US,200,"1,000"
"Eagle Pass, TX",TX,US,30,30
"East Haddam, CT",CT,US,500,500
"East Liberty, PA",PA,US,"2,000","2,000"
"East Millinocket, ME",ME,US,4,4
"Eastport, ME",ME,US,111,111
"Eastsound, WA",WA,US,250,250
"Eau Claire, WI",WI,US,250,250
"Eau Gallie, FL",FL,US,,
"El Centro, CA",CA,US,100,100
"El Morro, NM",NM,US,30,30
"El Paso, TX",TX,US,"1,000","2,000"
"Elgin, IL",IL,US,200,"1,000"
"Elkton, OR",OR,US,,
"Elizabethtown, NY",NY,US,,
"Ellensburg, WA",WA,US,200,275
"Ellsworth, ME",ME,US,60,60
"Ely, MN",MN,US,50,50
"Encinitas, CA (Seacrest)",CA,US,50,50
"Enterprise, OR",OR,US,,
"Ephrata, WA",WA,US,250,250
"Erie, PA",PA,US,"2,500","4,000"
"Esperanza, PR",PR,US,300,350
"Eugene, OR",OR,US,"7,000","10,000"
"Eureka, CA",CA,US,"5,000","8,000"
"Evanston, WY",WY,US,1,1
"Fairbanks, AK",AK,US,"2,000","2,000"
"Fairfax, CA",CA,US,25,500
"Fairfield, IA",IA,US,200,200
"Fairmont, WV",WV,US,95,95
"Falmouth, MA",MA,US,"1,000","1,000"
"Fargo, ND",ND,US,"1,000","3,000"
"Fayetteville, AR",AR,US,"1,000","1,000"
"Fernandina Beach, FL",FL,US,"1,000","1,300"
"Flagstaff, AZ",AZ,US,"1,000","2,000"
"Florence, OR",OR,US,300,300
"Floyd, VA",VA,US,200,200
"Forks, WA",WA,US,45,45
"Fort Atkinson, WI",WI,US,200,200
"Fort Bragg, CA",CA,US,"2,500","2,800"
"Fort Collins, CO",CO,US,600,600
"Fort Sumner, NM",NM,US,,
"Fort Wayne, IN",IN,US,"1,000","1,000"
"Fort Worth, TX",TX,US,"5,000","6,000"
"Francestown, NH",NH,US,134,134
"Frederick, MD",MD,US,"1,000","1,000"
"Fredonia, NY",NY,US,70,120
"Fresno, CA",CA,US,"2,000","2,000"
"Friday Harbor, WA",WA,US,"1,500","1,500"
"Gainesville, FL",FL,US,"1,500","1,500"
"Gainesville, FL",FL,US,500,500
"Galesburg, IL",IL,US,200,500
"Gila, NM",NM,US,1,1
"Glens Falls, NY",NY,US,"1,000","1,500"
"Glenwood Springs, CO",CO,US,100,100
"Gloucester, NJ",NJ,US,200,250
"Gold Canyon, AZ",AZ,US,,
"Gouldsboro, ME",ME,US,25,45
"Grand Forks, ND",ND,US,304,304
"Grand Junction, CO",CO,US,"4,500","5,000"
"Grand Marais, MN",MN,US,97,120
"Grand Rapids, MI",MI,US,"2,500","3,000"
"Grants Pass, OR",OR,US,1,1
"Green Bay, WI",WI,US,200,200
"Green Valley, AZ",AZ,US,350,575
"Greenfield, MA",MA,US,"1,000","2,000"
"Greensboro, NC",NC,US,"3,000","6,000"
"Greensburg, IN",IN,US,45,65
"Greenville, SC",SC,US,"2,000","2,000"
"Greenville, NC",NC,US,100,200
"Greenwood, IN",IN,US,,
"Gross Pointe, MI",MI,US,"1,143","1,300"
"Gualala, CA",CA,US,203,300
"Guilford, CT",CT,US,32,32
"Gulfport, MS",MS,US,300,709
"Gustavus, AK",AK,US,105,105
"Hagatna, Guam",GM,US,150,250
"Haines, AK",AK,US,150,170
"Halfway, OR",OR,US,31,31
"Hana, HI",HI,US,30,30
"Harrisburg, PA",PA,US,900,"1,109"
"Harrisville, MI",MI,US,5,5
"Hartford, CT",CT,US,"10,000","10,000"
"Harwich, MA",MA,US,200,200
"Hattiesburg, MS",MS,US,,
"Helena, AR",AR,US,2,2
"Helena, MT",MT,US,"10,000","10,000"
"Hemet, CA",CA,US,98,98
"Hilldale, UT",UT,US,1,1
"Hillsboro, WI",WI,US,,
"Hillsborough, NC",NC,US,200,"2,000"
"Hilo, HI",HI,US,"1,500","2,200"
"Holden Village, WA",WA,US,47,52
"Homer, AK",AK,US,900,900
"Honolulu (Oahu) HI",HI,US,"3,000","8,000"
"Hood River, OR",OR,US,50,50
"Houghton, MI",MI,US,500,500
"Houlton, ME",ME,US,45,50
"Houston, TX",TX,US,"20,000","23,187"
"Howard County, MD",MD,US,100,125
"Hudson, NY",NY,US,"2,000","3,000"
"Huntsville, AL",AL,US,80,110
"Huron, SD",SD,US,11,13
"Idaho Falls, ID",ID,US,500,500
"Idyllwild, CA",CA,US,,
"Indiana, PA",PA,US,100,200
"Indianapolis, IN",IN,US,"4,000","10,000"
"Inverness, CA",CA,US,5,5
"Iowa City, IA",IA,US,"1,000","1,000"
"Isla Vista, CA",CA,US,500,500
"Issaquah, WA",WA,US,56,56
"Ithaca, NY",NY,US,"8,000","10,000"
"Jackson, NH",NH,US,300,300
"Jackson, MS",MS,US,750,"5,000"
"Jackson Hole, WY",WY,US,"1,000","1,000"
"Jacksonville, FL",FL,US,"2,000","3,000"
"Jefferson City, MO",MO,US,6,7
"Jerome, AZ",AZ,US,85,100
